"city";"country";"nbArtists";"latitude";"longitude"
"molde";"norway";"1";"62.73752";"7.15912"
"poulton-le-fylde";"united kingdom";"1";"53.83333";"-2.98333"
"silver spring";"united states";"1";"38.99067";"-77.02609"
"port clinton";"united states";"1";"41.512";"-82.93769"
"ystad";"sweden";"1";"55.42966";"13.82041"
"rupperswil";"switzerland";"1";"47.40131";"8.12877"
"southgate";"united kingdom";"1";"51.56944";"-4.08972"
"schöneberg";"germany";"1";"52.46667";"13.35"
"rostock";"germany";"1";"54.0887";"12.14049"
"montpelier";"united states";"1";"42.32215";"-111.2977"
"hatfield";"united kingdom";"1";"53.57788";"-0.99924"
"juiz de fora";"brazil";"1";"-21.76417";"-43.35028"
"salem";"united states";"1";"36.37118";"-91.82265"
"huntington beach";"united states";"1";"33.6603";"-117.99923"
"kingsville";"united states";"1";"39.44872";"-76.41774"
"plymouth";"united kingdom";"1";"50.37153";"-4.14305"
"bishopbriggs";"united kingdom";"1";"55.90669";"-4.21869"
"annweiler am trifels";"germany";"1";"49.20613";"7.97527"
"ciboure";"france";"1";"43.38488";"-1.66817"
"pavia";"italy";"1";"45.19205";"9.15917"
"nagoya";"japan";"1";"35.18147";"136.90641"
"toruń";"poland";"1";"53.01375";"18.59814"
"dover";"united states";"1";"36.48783";"-87.83836"
"whiston";"united kingdom";"1";"53.40851";"-1.3151"
"monroeville";"united states";"1";"41.24422";"-82.69629"
"oildale";"united states";"1";"35.41968";"-119.01955"
"eschwege";"germany";"1";"51.18386";"10.05329"
"bogotá";"colombia";"1";"4.60971";"-74.08175"
"crossville";"united states";"1";"34.28759";"-85.99414"
"thousand oaks";"united states";"1";"34.17056";"-118.83759"
"lake forest";"united states";"1";"25.97759";"-80.1831"
"gütersloh";"germany";"1";"51.90693";"8.37853"
"tallinn";"estonia";"1";"59.43696";"24.75353"
"bay city";"united states";"1";"28.98276";"-95.9694"
"latina";"italy";"1";"41.46614";"12.9043"
"wheaton";"united states";"1";"39.03983";"-77.05526"
"dumfries";"united kingdom";"1";"55.06959";"-3.61139"
"navasota";"united states";"1";"30.38798";"-96.08773"
"nashua";"united states";"1";"42.95275";"-92.5363"
"winnweiler";"germany";"1";"49.56667";"7.85"
"lagonegro";"italy";"1";"40.12785";"15.76212"
"cottage grove";"united states";"1";"43.07611";"-89.19956"
"southport";"united kingdom";"1";"53.64581";"-3.01008"
"south bend";"united states";"1";"46.66315";"-123.80461"
"düren";"germany";"1";"50.80434";"6.49299"
"santo amaro";"brazil";"1";"-12.54667";"-38.71194"
"trogen";"switzerland";"1";"47.40782";"9.46498"
